4.13,14.46 2.5,12.46 
3.84,18.5 10.07,11.74 

5.64,19.12 6.63,15.86 
6.81,11.7 15.87,0.7 

15.12,14.67 12.35,1.64 
17.31,6.77 2.78,11.27 

0.5062591328554338 0.4284827596877

9.14,14.03 10.31,14.68 
14.75,7.46 5.32,15.33 

0.3,9.98 3.79,19.17 
6.68,19.68 3.06,17.55 

18.61,14.68 13.9,12.19 
14.26,15.17 11.71,18.86 

0.35800326264437654 0.4962768866182953

19.75,17.93 15.49,10.1 
18.24,14.35 9.05,1.33 

17.21,13.04 8.06,1.54 
11.66,10.16 18.19,13.09 

0.16,1.55 15.94,7.65 
9.48,5.01 17.01,17.98 

0.40862222464862485 0.3265098746858639

14.99,1.78 16.14,11.8 
2.99,13.6 15.6,10.49 

15.28,6.44 10.94,9.02 
1.89,11.73 3.0,7.92 

18.09,11.55 18.2,19.7 
12.64,0.45 8.69,14.3 

0.12741173888178947 0.6398224583915304

15.49,2.52 11.28,1.03 
14.74,9.5 6.28,4.85 

13.35,16.43 4.17,5.38 
18.0,4.78 8.72,0.21 

17.14,10.99 14.56,9.22 
8.89,1.51 11.91,8.18 

0.25391842184404645 0.32837700852178797

6.92,9.64 12.58,5.8 
3.64,4.26 13.49,0.6 

8.95,18.11 19.29,7.47 
6.05,1.04 8.29,19.97 

1.57,7.97 4.15,9.39 
1.52,18.12 2.05,7.91 

0.6546079529672671 0.28051291279921514

8.59,12.68 6.14,0.93 
2.74,12.76 14.49,0.27 

16.58,12.28 3.97,10.58 
9.48,13.52 8.22,8.77 

19.05,13.81 7.67,1.19 
12.45,1.62 9.44,17.36 

0.563238725144801 0.3675457968925427

6.06,14.11 3.82,7.32 
14.49,16.48 10.83,18.84 

8.14,0.23 10.19,19.07 
16.58,2.84 1.28,0.33 

16.17,6.52 2.66,14.25 
2.02,2.33 17.51,13.92 

0.27370869459515035 0.6141890881468196

17.48,19.98 5.01,13.01 
11.12,16.62 13.41,17.24 

8.83,17.04 7.51,17.5 
6.88,18.42 0.12,12.65 

6.71,10.91 11.44,1.81 
7.18,10.31 4.7,14.25 

0.007298572981058843 0.6040349671410041

3.32,20.0 19.31,6.97 
13.8,19.31 1.8,5.73 

0.0,19.72 6.49,17.97 
17.89,4.07 6.16,8.58 

6.17,10.33 10.1,18.91 
17.01,9.06 2.43,18.29 

0.8472973802435305 0.051121827542423136

0.89,15.05 19.5,2.84 
15.61,6.15 16.54,11.61 

3.65,9.89 0.33,17.24 
16.83,17.48 0.63,5.63 

0.67,1.42 9.05,15.26 
16.43,17.52 16.23,7.41 

0.11574738049750334 0.3748461088943562

7.24,4.89 11.88,7.79 
16.08,3.07 7.57,3.37 

7.88,3.76 3.23,14.08 
1.31,0.26 18.91,3.58 

3.09,11.07 1.08,2.99 
5.81,7.2 11.5,2.03 

0.4298282490895386 0.2697094114788583

4.03,1.85 10.15,6.26 
0.4,18.18 12.22,15.14 

2.64,2.87 11.91,11.06 
0.62,11.68 17.03,17.62 

5.82,3.85 15.91,18.0 
18.77,16.87 4.96,12.01 

0.8947398186087313 0.06610115429093165

4.72,16.85 16.81,12.28 
0.04,13.6 14.25,0.73 

1.2,10.62 7.81,11.76 
4.57,1.01 10.87,1.38 

16.81,11.97 18.5,14.08 
6.93,10.53 17.99,13.74 

0.13785232035699482 0.37002590931660273

17.61,10.32 11.0,9.03 
17.25,4.67 12.24,8.23 

19.09,13.54 14.77,12.57 
19.55,1.71 7.82,3.75 

9.33,9.37 4.6,18.25 
0.64,10.37 7.53,16.18 

0.0896623802391643 0.5139534339873517

11.97,10.26 16.02,18.95 
4.0,1.27 9.41,8.9 

16.1,12.21 11.87,10.17 
8.63,7.02 18.5,6.9 

18.98,12.8 7.2,13.57 
16.73,3.32 4.57,13.03 

0.24541491327007664 0.1362043648068511

2.18,18.75 10.14,13.19 
5.72,19.53 13.39,2.37 

13.25,18.47 6.58,14.95 
0.94,9.94 10.1,15.13 

5.78,11.25 19.17,15.99 
9.11,1.87 12.26,6.45 

0.1688558155725646 0.2611045410762868

11.29,2.31 16.04,18.73 
14.13,0.81 1.61,19.21 

16.42,4.68 9.2,6.94 
14.14,6.41 17.36,16.32 

13.76,19.89 4.35,16.34 
7.99,1.0 18.84,0.68 

0.486041241306892 0.48240375157391274

9.44,12.34 1.91,16.73 
19.37,14.48 2.66,4.31 

14.13,8.68 5.99,12.68 
18.96,9.92 9.74,13.45 

14.2,11.0 6.68,13.5 
6.89,13.12 18.59,11.55 

0.5792940450522346 0.015251672059581048

3.71,4.21 16.26,6.41 
9.85,9.11 9.73,1.37 

5.57,4.56 19.95,16.05 
16.5,10.02 9.85,0.26 

9.71,19.83 11.39,13.53 
19.5,13.31 2.24,6.73 

0.42252671620164745 0.12891667219709738

